n132_eagleowl_or_b2_v131.htm — EagleOwl_v1 · XAUUSD.p · 7666 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      577  1.51   2.55     112   5.14  152   71 |   188/60    178/61    247/56    -36/49 
GoldDaily3|1760.64         1       19   inf  19.40       0 485.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 8|1975.20      5       19  7.24   3.87       4   5.43    0    3 |     0/0       0/0      19/5       0/0  
Gold Reaper 7|1732.57      2       19   inf   9.62       0 240.38    0    2 |     0/0      19/2       0/0       0/0  
Gold Reaper 7|2008.30      1       19   inf  19.16       0 479.00    0    1 |     0/0       0/0       0/0      19/1  
GoldDaily1|2009.92         1       19   inf  19.02       0 475.50    1    0 |     0/0       0/0      19/1       0/0  
Gold Reaper 7|2306.62      2       19   inf   9.45       0 145.31    2    0 |     0/0       0/0       0/0      19/2  
GoldbotOne_8|1791.60       1       19   inf  18.72       0 468.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 7|1793.09      2       19   inf   9.29       0 232.25    0    2 |    19/2       0/0       0/0       0/0  
GoldDaily3|2670.20         1       19   inf  18.52       0 463.00    0    1 |     0/0       0/0       0/0      19/1  
Gold Reaper 7|2200.17      2       19 11.67   9.26       2   9.70    0    1 |     0/0       0/0       0/0      19/2  
GoldbotOne_8|1833.35       1       18   inf  18.47       0 461.75    0    1 |     0/0       0/0      18/1       0/0  
GoldDaily3|1853.87         1       18   inf  18.35       0 458.75    0    1 |     0/0      18/1       0/0       0/0  
GoldDaily1|1745.45         1       18   inf  18.30       0 457.50    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 1|1786.68      2       18   inf   9.11       0 227.62    0    0 |     0/0      18/2       0/0       0/0  
goldtrade_D|2613.45        1       18   inf  18.18       0 454.50    0    1 |     0/0       0/0       0/0      18/1  
GoldbotOne_8|1719.23       1       18   inf  18.07       0 451.75    0    1 |    18/1       0/0       0/0       0/0  
GoldbotOne_8|1697.60       1       18   inf  18.07       0 451.75    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 7|1865.14      3       18 21.76   6.01       1  16.10    0    2 |     0/0       0/0      18/3       0/0  
Gold Reaper 8|1902.48      1       18   inf  17.96       0 449.00    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 8|1813.83      1       18   inf  17.88       0 447.00    0    1 |    18/1       0/0       0/0       0/0  
goldtrade_E|1688.85        2       18   inf   8.90       0 444.75    1    1 |     0/0      18/2       0/0       0/0  
Gold Reaper 1|2483.69      1       18   inf  17.70       0 442.50    0    1 |     0/0       0/0       0/0      18/1  
goldtrade_E|1802.16        1       18   inf  17.67       0 441.75    0    1 |    18/1       0/0       0/0       0/0  
GoldDaily3|1944.59         2       18  7.78   8.83       3   6.42    1    1 |     0/0      18/2       0/0       0/0  
Gold Reaper 7|2319.86      3       17   inf   5.83       0 145.67    3    0 |     0/0       0/0       0/0      17/3  
GoldDaily3|1688.00         1       17   inf  17.45       0 436.25    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 4|1832.00      1       17   inf  17.32       0 433.00    1    0 |     0/0      17/1       0/0       0/0  
GoldbotOne_8|1745.45       1       17   inf  17.28       0 432.00    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 3|1831.69      1       17   inf  17.20       0 430.00    1    0 |     0/0      17/1       0/0       0/0  
Gold Reaper 7|1910.16      2       17   inf   8.60       0 215.00    2    0 |     0/0       0/0      17/2       0/0  
Gold Reaper 8|2023.00      2       17   inf   8.57       0 214.25    0    2 |     0/0       0/0       0/0      17/2  
GoldDaily1|1758.67         1       17   inf  17.13       0 428.25    1    0 |    17/1       0/0       0/0       0/0  
