n121_eagleowl_or_reverif_v118_v130.htm — EagleOwl_v1 · XAUUSD.p · 8652 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      509  1.47   2.25     123   4.13  155   65 |   215/60    146/61    196/56    -48/49 
GoldDaily2|2222.93         1       26   inf  26.02       0 650.50    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 5|1910.72      4       26   inf   6.50       0 162.38    0    4 |     0/0      26/4       0/0       0/0  
Gold Reaper 4|2222.93      1       26   inf  25.90       0 647.50    1    0 |     0/0       0/0       0/0      26/1  
goldtrade_H|2001.86        2       26 21.52  12.84       1  18.09    0    1 |     0/0       0/0       0/0      26/2  
Gold Reaper 5|1914.10      4       26   inf   6.42       0 160.38    0    4 |     0/0      26/4       0/0       0/0  
Gold Reaper 6|1940.58      4       25   inf   6.36       0 159.00    0    4 |     0/0      25/4       0/0       0/0  
GoldDaily1|1831.27         1       25   inf  25.40       0 635.00    0    1 |    25/1       0/0       0/0       0/0  
Gold Reaper 6|1911.40      4       25   inf   6.32       0 158.06    0    4 |     0/0       0/0      25/4       0/0  
GoldDaily3|1900.99         1       25   inf  25.13       0 628.25    0    1 |     0/0       0/0      25/1       0/0  
Gold Reaper 5|1840.66      4       25   inf   6.24       0 156.06    0    4 |     0/0      25/4       0/0       0/0  
GoldDaily3|1932.42         1       25   inf  24.93       0 623.25    0    1 |     0/0       0/0      25/1       0/0  
GoldbotOne_8|2392.92       1       25   inf  24.88       0 622.00    0    1 |     0/0       0/0       0/0      25/1  
Gold Reaper 5|1960.47      4       25   inf   6.22       0 155.44    3    1 |     0/0      25/4       0/0       0/0  
GoldDaily1|1854.85         1       25   inf  24.75       0 618.75    0    1 |    25/1       0/0       0/0       0/0  
Gold Reaper 7|1843.65      5       25   inf   4.93       0 123.15    3    2 |    25/5       0/0       0/0       0/0  
GoldDaily3|2003.33         1       25   inf  24.57       0 614.25    0    1 |     0/0       0/0      25/1       0/0  
GoldDaily3|2332.07         1       25   inf  24.53       0 613.25    0    1 |     0/0       0/0       0/0      25/1  
GoldDaily3|1949.76         1       24   inf  24.39       0 609.75    0    1 |     0/0      24/1       0/0       0/0  
DaytradePro_XAUUSD|178     1       24   inf  24.14       0 603.50    0    1 |     0/0      24/1       0/0       0/0  
Gold Reaper 6|2424.57      3       24   inf   8.03       0 200.67    0    3 |     0/0       0/0       0/0      24/3  
GoldDaily3|2195.21         1       24   inf  23.86       0 596.50    0    1 |     0/0       0/0       0/0      24/1  
Gold Reaper 5|2319.86      3       24   inf   7.94       0 198.50    0    3 |     0/0       0/0       0/0      24/3  
Gold Reaper 6|1810.41      4       24   inf   5.94       0 148.50    0    4 |    24/4       0/0       0/0       0/0  
GoldDaily3|1974.44         1       24   inf  23.74       0 593.50    0    1 |     0/0      24/1       0/0       0/0  
GoldDaily3|1754.31         1       24   inf  23.64       0 591.00    0    1 |     0/0      24/1       0/0       0/0  
GoldDaily3|2012.31         1       24   inf  23.59       0 589.75    0    1 |     0/0       0/0      24/1       0/0  
Gold Reaper 6|1791.60      4       24   inf   5.89       0 147.25    0    4 |    24/4       0/0       0/0       0/0  
GoldDaily1|2222.93         1       23   inf  23.46       0 586.50    1    0 |     0/0       0/0       0/0      23/1  
Gold Reaper 6|1809.55      5       23 341.57   4.69       0  86.81    1    4 |    23/5       0/0       0/0       0/0  
Gold Reaper 5|1760.64      1       23   inf  23.31       0 582.75    0    1 |    23/1       0/0       0/0       0/0  
goldtrade_H|2613.45        1       23   inf  23.28       0 582.00    1    0 |     0/0       0/0       0/0      23/1  
GoldbotOne_8|2222.93       1       23   inf  23.25       0 581.25    0    1 |     0/0       0/0       0/0      23/1  
GoldDaily3|1780.04         1       23   inf  23.24       0 581.00    0    1 |    23/1       0/0       0/0       0/0  
Gold Reaper 7|1841.96      1       23   inf  23.19       0 579.75    0    1 |     0/0      23/1       0/0       0/0  
GoldDaily1|1691.43         1       23   inf  22.98       0 574.50    1    0 |     0/0      23/1       0/0       0/0  
GoldDaily1|1947.44         1       23   inf  22.83       0 570.75    0    1 |     0/0       0/0      23/1       0/0  
GoldDaily3|1719.23         1       23   inf  22.82       0 570.50    0    1 |    23/1       0/0       0/0       0/0  
