jeu,mois,net
goldtrade_E|1797.86,2021-05,-0.08
Gold Reaper 3|1797.86,2021-05,-0.08
Gold Reaper 8|1797.86,2021-05,-8.43
DaytradePro_XAUUSD|1797.86,2021-05,4.65
Gold Reaper 4|1797.86,2021-05,-6.65
Gold Reaper 8|1797.90,2021-05,-0.66
GoldDaily3|1797.86,2021-05,-20.57
GoldbotOne_8|1797.86,2021-05,-0.66
Gold Reaper 8|1799.16,2021-05,7.57
Gold Reaper 7|1799.16,2021-05,9.86
Gold Reaper 4|1799.16,2021-05,34.57
goldtrade_D|1816.01,2021-05,20.14
DaytradePro_XAUUSD|1816.01,2021-05,2.54
GoldDaily3|1816.01,2021-05,4.69
GoldbotOne_8|1816.01,2021-05,2.36
Gold Reaper 8|1843.34,2021-05,-4.27
Gold Reaper 7|1843.34,2021-05,-0.10
Gold Reaper 8|1818.06,2021-05,-1.41
Gold Reaper 7|1818.06,2021-05,0.43
Gold Reaper 8|1843.65,2021-05,-1.44
Gold Reaper 1|1845.53,2021-05,4.84
Gold Reaper 7|1843.65,2021-05,5.61
goldtrade_D|1845.53,2021-05,-0.88
goldtrade_H|1845.53,2021-05,-1.50
goldtrade_E|1845.53,2021-05,-1.19
Gold Reaper 3|1845.53,2021-05,5.54
DaytradePro_XAUUSD|1845.53,2021-05,9.62
Gold Reaper 8|1845.53,2021-05,6.89
Gold Reaper 4|1845.53,2021-05,-8.14
Gold Reaper 7|1845.53,2021-05,10.66
GoldDaily3|1845.53,2021-05,0.24
GoldDaily1|1845.53,2021-05,13.70
GoldDaily2|1845.53,2021-05,1.02
goldtrade_D|1855.37,2021-05,1.43
DaytradePro_XAUUSD|1855.37,2021-05,3.15
GoldbotOne_8|1855.37,2021-05,21.91
goldtrade_D|1875.62,2021-05,-8.49
DaytradePro_XAUUSD|1875.62,2021-05,-16.90
Gold Reaper 8|1875.03,2021-05,-3.29
Gold Reaper 7|1875.03,2021-05,-2.76
GoldDaily3|1875.62,2021-05,-14.66
GoldbotOne_8|1875.62,2021-05,-0.13
Gold Reaper 8|1890.02,2021-05,1.21
Gold Reaper 1|1890.02,2021-05,12.74
goldtrade_D|1890.02,2021-05,0.09
goldtrade_H|1890.02,2021-05,0.09
goldtrade_E|1890.02,2021-05,1.78
Gold Reaper 8|1889.45,2021-05,8.21
Gold Reaper 3|1890.02,2021-05,2.00
DaytradePro_XAUUSD|1890.02,2021-05,1.24
Gold Reaper 4|1890.02,2021-05,-0.10
Gold Reaper 7|1890.02,2021-05,8.29
GoldDaily2|1890.02,2021-05,-0.08
GoldDaily3|1890.02,2021-05,6.22
GoldDaily1|1890.02,2021-05,-0.04
GoldDaily1|1890.02,2021-06,-17.96
GoldbotOne_8|1890.02,2021-05,19.79
Gold Reaper 1|1912.75,2021-06,-8.35
goldtrade_D|1912.75,2021-06,0.16
goldtrade_H|1912.75,2021-06,0.14
goldtrade_E|1912.75,2021-06,-0.08
Gold Reaper 3|1912.75,2021-06,-1.34
Gold Reaper 8|1912.75,2021-06,6.52
DaytradePro_XAUUSD|1912.75,2021-06,0.17
Gold Reaper 4|1912.75,2021-06,-1.00
Gold Reaper 7|1912.75,2021-06,-4.24
GoldDaily2|1912.75,2021-06,-0.62
GoldDaily3|1912.75,2021-06,-9.57
GoldDaily1|1912.75,2021-06,-13.21
GoldbotOne_8|1912.75,2021-06,-2.01
Gold Reaper 8|1892.38,2021-06,-0.09
Gold Reaper 7|1892.38,2021-06,0.10
Gold Reaper 4|1882.30,2021-06,-0.72
Gold Reaper 8|1882.30,2021-06,-0.64
Gold Reaper 7|1882.30,2021-06,13.52
GoldDaily1|1882.30,2021-06,8.67
GoldbotOne_8|1882.30,2021-06,21.17
GoldDaily3|1882.30,2021-06,24.98
Gold Reaper 8|1872.74,2021-06,8.05
Gold Reaper 8|1896.20,2021-06,6.83
Gold Reaper 7|1896.20,2021-06,2.45
Gold Reaper 8|1883.77,2021-06,-3.60
Gold Reaper 7|1883.77,2021-06,7.08
Gold Reaper 8|1903.77,2021-06,-0.38
Gold Reaper 8|1869.97,2021-06,-0.89
Gold Reaper 7|1869.97,2021-06,-0.81
DaytradePro_XAUUSD|1855.72,2021-06,8.13
goldtrade_H|1855.72,2021-06,-0.83
Gold Reaper 4|1855.72,2021-06,7.09
Gold Reaper 3|1855.72,2021-06,0.10
Gold Reaper 8|1855.72,2021-06,2.23
Gold Reaper 7|1855.72,2021-06,11.05
goldtrade_D|1855.72,2021-06,-0.08
GoldbotOne_8|1855.72,2021-06,5.23
GoldDaily3|1855.72,2021-06,-3.77
Gold Reaper 7|1851.66,2021-06,10.16
Gold Reaper 4|1844.66,2021-06,-1.57
Gold Reaper 8|1844.66,2021-06,-1.48
Gold Reaper 7|1844.66,2021-06,24.13
DaytradePro_XAUUSD|1808.74,2021-06,1.10
goldtrade_D|1808.74,2021-06,0.43
GoldbotOne_8|1808.74,2021-06,-11.68
GoldDaily3|1808.74,2021-06,21.63
Gold Reaper 8|1767.19,2021-06,3.00
Gold Reaper 7|1767.19,2021-06,0.25
Gold Reaper 8|1790.11,2021-06,0.12
Gold Reaper 7|1790.11,2021-06,-0.10
Gold Reaper 8|1772.41,2021-06,-23.52
Gold Reaper 7|1772.41,2021-06,-28.28
Gold Reaper 8|1772.76,2021-06,-0.09
Gold Reaper 7|1772.76,2021-06,6.16
Gold Reaper 8|1770.64,2021-06,-0.81
Gold Reaper 7|1770.64,2021-06,-0.73
DaytradePro_XAUUSD|1760.96,2021-06,10.34
goldtrade_H|1760.96,2021-06,1.67
Gold Reaper 1|1760.96,2021-06,-9.59
Gold Reaper 4|1760.96,2021-06,2.09
Gold Reaper 3|1760.96,2021-06,4.45
Gold Reaper 8|1760.96,2021-06,7.51
Gold Reaper 7|1760.96,2021-06,9.83
goldtrade_D|1760.96,2021-06,1.31
goldtrade_E|1760.96,2021-06,1.12
GoldDaily1|1760.96,2021-06,-0.04
GoldDaily1|1760.96,2021-07,-18.38
GoldDaily2|1760.96,2021-06,0.97
GoldbotOne_8|1760.96,2021-06,-2.26
GoldDaily3|1760.96,2021-06,-3.86
DaytradePro_XAUUSD|1756.13,2021-06,5.88
Gold Reaper 8|1794.95,2021-07,-12.24
Gold Reaper 8|1795.08,2021-07,7.61
Gold Reaper 7|1795.08,2021-07,9.90
GoldDaily3|1794.95,2021-07,6.15
Gold Reaper 8|1815.02,2021-07,-0.09
Gold Reaper 4|1815.02,2021-07,0.11
Gold Reaper 7|1815.02,2021-07,-9.08
Gold Reaper 8|1793.95,2021-07,0.10
Gold Reaper 7|1793.95,2021-07,-0.08
Gold Reaper 8|1812.38,2021-07,0.08
Gold Reaper 7|1812.38,2021-07,-0.09
goldtrade_D|1818.47,2021-07,-1.80
goldtrade_H|1818.47,2021-07,-10.36
Gold Reaper 8|1817.07,2021-07,-1.16
Gold Reaper 3|1818.47,2021-07,4.55
Gold Reaper 8|1818.47,2021-07,24.81
DaytradePro_XAUUSD|1818.47,2021-07,21.09
Gold Reaper 4|1818.47,2021-07,7.35
Gold Reaper 7|1818.47,2021-07,11.60
GoldDaily3|1818.47,2021-07,4.79
GoldDaily1|1818.47,2021-07,-0.94
GoldbotOne_8|1818.47,2021-07,5.72
Gold Reaper 4|1795.02,2021-07,-3.01
Gold Reaper 8|1795.02,2021-07,-3.12
Gold Reaper 7|1795.02,2021-07,-3.04
Gold Reaper 8|1791.70,2021-07,-3.85
Gold Reaper 8|1792.76,2021-07,-2.91
Gold Reaper 7|1792.76,2021-07,-1.92
Gold Reaper 4|1791.70,2021-07,-0.09
GoldDaily1|1791.70,2021-07,-4.48
GoldbotOne_8|1791.70,2021-07,-9.73
GoldDaily3|1791.70,2021-07,-15.46
Gold Reaper 8|1810.31,2021-07,-0.09
Gold Reaper 8|1793.68,2021-07,-8.17
Gold Reaper 7|1793.68,2021-07,-7.93
Gold Reaper 8|1811.49,2021-07,7.63
Gold Reaper 4|1811.49,2021-07,5.32
Gold Reaper 7|1811.49,2021-07,7.15
GoldDaily1|1811.49,2021-07,5.50
GoldDaily3|1811.49,2021-07,6.24
GoldbotOne_8|1811.49,2021-07,19.77
Gold Reaper 8|1824.92,2021-07,0.11
Gold Reaper 7|1824.92,2021-07,-0.09
goldtrade_D|1833.99,2021-07,-0.28
goldtrade_H|1833.99,2021-07,-0.37
goldtrade_E|1833.99,2021-07,-5.99
goldtrade_E|1833.99,2021-09,-4.96
goldtrade_D|1832.65,2021-08,-0.50
goldtrade_D|1832.65,2021-09,-8.73
Gold Reaper 8|1832.65,2021-08,-12.41
Gold Reaper 4|1805.80,2021-08,-1.45
Gold Reaper 8|1805.80,2021-08,14.84
Gold Reaper 7|1805.80,2021-08,63.21
Gold Reaper 8|1806.50,2021-08,7.62
GoldDaily1|1805.80,2021-08,6.80
GoldbotOne_8|1805.80,2021-08,5.01
GoldDaily3|1805.80,2021-08,7.50
DaytradePro_XAUUSD|1790.47,2021-08,-0.14
DaytradePro_XAUUSD|1750.68,2021-08,-0.92
Gold Reaper 1|1750.68,2021-08,-1.25
goldtrade_D|1750.68,2021-08,-0.37
goldtrade_E|1750.68,2021-08,10.78
GoldDaily2|1750.68,2021-08,-18.96
GoldbotOne_8|1750.68,2021-08,19.72
