jeu,mois,net
Gold Reaper 7|1844.66,2021-06,19.17
Gold Reaper 5|1844.66,2021-06,24.13
DaytradePro_XAUUSD|1808.74,2021-06,1.10
goldtrade_D|1808.74,2021-06,0.43
GoldbotOne_8|1808.74,2021-06,-11.68
GoldDaily3|1808.74,2021-06,21.63
Gold Reaper 7|1767.19,2021-06,3.00
Gold Reaper 6|1767.19,2021-06,5.83
Gold Reaper 5|1767.19,2021-06,6.19
Gold Reaper 6|1790.11,2021-06,0.51
Gold Reaper 5|1790.11,2021-06,0.12
Gold Reaper 7|1790.11,2021-06,2.02
Gold Reaper 7|1772.41,2021-06,-28.28
Gold Reaper 6|1772.41,2021-06,-26.29
Gold Reaper 6|1772.76,2021-06,12.33
Gold Reaper 7|1772.76,2021-06,0.46
Gold Reaper 5|1772.76,2021-06,6.16
Gold Reaper 6|1770.64,2021-06,-0.73
Gold Reaper 7|1770.64,2021-06,-0.81
Gold Reaper 5|1770.64,2021-06,0.47
DaytradePro_XAUUSD|1760.96,2021-06,10.34
goldtrade_H|1760.96,2021-06,1.67
Gold Reaper 4|1760.96,2021-06,2.09
Gold Reaper 6|1760.96,2021-06,5.83
Gold Reaper 7|1760.96,2021-06,9.83
goldtrade_D|1760.96,2021-06,1.31
goldtrade_E|1760.96,2021-06,4.45
GoldDaily1|1760.96,2021-06,-0.04
GoldDaily1|1760.96,2021-07,-18.38
GoldDaily2|1760.96,2021-06,-2.26
GoldbotOne_8|1760.96,2021-06,-2.42
GoldDaily3|1760.96,2021-06,-9.59
DaytradePro_XAUUSD|1756.13,2021-06,1.12
Gold Reaper 6|1795.08,2021-07,11.79
Gold Reaper 5|1795.08,2021-07,16.93
Gold Reaper 7|1795.08,2021-07,0.45
GoldDaily3|1794.95,2021-07,6.15
Gold Reaper 5|1815.02,2021-07,0.52
Gold Reaper 6|1815.02,2021-07,-9.08
Gold Reaper 4|1815.02,2021-07,0.48
Gold Reaper 7|1815.02,2021-07,0.11
Gold Reaper 6|1793.95,2021-07,0.10
Gold Reaper 7|1793.95,2021-07,0.46
Gold Reaper 5|1793.95,2021-07,0.51
Gold Reaper 6|1812.38,2021-07,0.52
Gold Reaper 7|1812.38,2021-07,0.08
goldtrade_D|1818.47,2021-07,-2.01
goldtrade_H|1818.47,2021-07,-10.42
Gold Reaper 5|1817.07,2021-07,-1.04
DaytradePro_XAUUSD|1818.47,2021-07,16.10
Gold Reaper 6|1818.47,2021-07,10.00
Gold Reaper 5|1818.47,2021-07,20.00
Gold Reaper 4|1818.47,2021-07,5.72
Gold Reaper 7|1818.47,2021-07,10.55
GoldDaily3|1818.47,2021-07,1.50
GoldDaily1|1818.47,2021-07,4.79
GoldbotOne_8|1818.47,2021-07,5.71
Gold Reaper 4|1795.02,2021-07,-3.01
Gold Reaper 6|1795.02,2021-07,-3.39
Gold Reaper 7|1795.02,2021-07,-3.04
Gold Reaper 5|1795.02,2021-07,-3.12
Gold Reaper 6|1792.76,2021-07,-2.91
Gold Reaper 7|1792.76,2021-07,-2.17
Gold Reaper 5|1792.76,2021-07,-1.85
Gold Reaper 4|1791.70,2021-07,-1.92
GoldDaily1|1791.70,2021-07,-4.48
