n132_eagleowl_or_b2_v144.htm — EagleOwl_v1 · XAUUSD.p · 6522 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.63   3.15     136   6.95  196  101 |   190/74    288/78    322/82    146/66 
DaytradePro_XAUUSD|190     1       21   inf  21.34       0 533.50    0    1 |     0/0       0/0      21/1       0/0  
DaytradePro_XAUUSD|196     2       21   inf  10.67       0 266.62    0    2 |     0/0       0/0      21/2       0/0  
Gold Reaper 8|2670.20      4       21 16.47   5.30       2  12.39    1    2 |     0/0       0/0       0/0      21/4  
GoldbotOne_8|1882.30       1       21   inf  21.17       0 529.25    0    1 |    21/1       0/0       0/0       0/0  
GoldDaily3|1915.04         1       21   inf  21.11       0 527.75    0    1 |     0/0      21/1       0/0       0/0  
GoldbotOne_8|1959.76       1       21   inf  21.04       0 526.00    0    1 |     0/0       0/0      21/1       0/0  
GoldbotOne_8|1932.42       1       21   inf  21.04       0 526.00    0    1 |     0/0       0/0      21/1       0/0  
GoldDaily3|1854.85         1       21   inf  20.93       0 523.25    0    1 |    21/1       0/0       0/0       0/0  
DaytradePro_XAUUSD|180     2       21   inf  10.47       0 261.63    0    2 |    21/2       0/0       0/0       0/0  
GoldbotOne_8|2048.16       1       21   inf  20.91       0 522.75    1    0 |     0/0       0/0      21/1       0/0  
Gold Reaper 4|2368.75      1       21   inf  20.88       0 522.00    0    0 |     0/0       0/0       0/0      21/1  
GoldbotOne_8|1916.59       1       21   inf  20.80       0 520.00    0    1 |     0/0      21/1       0/0       0/0  
GoldbotOne_8|2003.33       1       21   inf  20.77       0 519.25    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 4|2009.51      1       21   inf  20.77       0 519.25    1    0 |     0/0       0/0       0/0      21/1  
Gold Reaper 8|1900.99      1       21   inf  20.58       0 514.50    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 8|1688.00      1       21   inf  20.53       0 513.25    0    1 |     0/0      21/1       0/0       0/0  
goldtrade_H|2195.21        1       20   inf  20.50       0 512.50    1    0 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|1859.67      2       20   inf  10.25       0 256.12    0    2 |     0/0      20/2       0/0       0/0  
Gold Reaper 8|2424.57      2       20   inf  10.24       0 256.00    0    2 |     0/0       0/0       0/0      20/2  
GoldDaily3|1944.59         1       20   inf  20.41       0 510.25    0    1 |     0/0      20/1       0/0       0/0  
Gold Reaper 8|2398.31      2       20   inf  10.20       0 255.00    0    2 |     0/0       0/0       0/0      20/2  
Gold Reaper 7|2009.92      1       20   inf  20.38       0 509.50    1    0 |     0/0       0/0      20/1       0/0  
Gold Reaper 7|2041.35      1       20   inf  20.34       0 508.50    0    1 |     0/0       0/0       0/0      20/1  
GoldDaily3|1935.09         1       20   inf  20.31       0 507.75    0    1 |     0/0       0/0      20/1       0/0  
goldtrade_E|2392.92        1       20   inf  20.23       0 505.75    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 4|1914.10      1       20   inf  20.19       0 504.75    0    1 |     0/0      20/1       0/0       0/0  
Gold Reaper 7|2070.66      2       20   inf  10.10       0 252.38    0    2 |     0/0       0/0      20/2       0/0  
goldtrade_D|1816.01        1       20   inf  20.14       0 503.50    0    0 |    20/1       0/0       0/0       0/0  
goldtrade_D|2195.21        1       20   inf  20.14       0 503.50    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|2172.75      1       20   inf  20.11       0 502.75    0    1 |     0/0       0/0       0/0      20/1  
GoldDaily1|1782.36         1       20   inf  20.03       0 500.75    1    0 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1834.00       1       20   inf  19.92       0 498.00    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|2747.72      1       20   inf  19.90       0 497.50    0    1 |     0/0       0/0       0/0      20/1  
goldtrade_E|2450.11        1       20   inf  19.88       0 497.00    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|1809.55      2       20   inf   9.94       0 248.38    0    2 |    20/2       0/0       0/0       0/0  
GoldbotOne_8|2758.45       1       20   inf  19.86       0 496.50    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 3|2613.45      1       20   inf  19.79       0 494.75    1    0 |     0/0       0/0       0/0      20/1  
GoldbotOne_8|1890.02       1       20   inf  19.79       0 494.75    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|1792.42      2       20   inf   9.89       0 247.25    0    2 |    20/2       0/0       0/0       0/0  
GoldbotOne_8|1811.49       1       20   inf  19.77       0 494.25    0    1 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1750.68       1       20   inf  19.72       0 493.00    0    1 |    20/1       0/0       0/0       0/0  
GoldDaily3|1754.31         1       20   inf  19.60       0 490.00    0    1 |     0/0      20/1       0/0       0/0  
GoldDaily3|1780.04         1       20   inf  19.52       0 488.00    0    1 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1752.19       1       19   inf  19.43       0 485.75    0    1 |     0/0      19/1       0/0       0/0  
GoldDaily3|1760.64         1       19   inf  19.40       0 485.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 7|1732.57      2       19   inf   9.62       0 240.38    0    2 |     0/0      19/2       0/0       0/0  
Gold Reaper 3|2685.58      3       19  2.47   6.40      13   1.43    2    1 |     0/0       0/0       0/0      19/3  
Gold Reaper 1|1833.35      5       19  3.84   3.83       7   2.63    0    2 |     0/0       0/0      19/5       0/0  
Gold Reaper 7|2008.30      1       19   inf  19.16       0 479.00    0    1 |     0/0       0/0       0/0      19/1  
GoldDaily2|1916.59         1       19   inf  19.10       0 477.50    1    0 |     0/0      19/1       0/0       0/0  
GoldDaily1|2009.92         1       19   inf  19.02       0 475.50    1    0 |     0/0       0/0      19/1       0/0  
Gold Reaper 7|2306.62      2       19   inf   9.45       0 145.31    2    0 |     0/0       0/0       0/0      19/2  
Gold Reaper 7|1934.42      5       19 16.41   3.77       2  11.43    1    2 |     0/0       0/0      19/5       0/0  
Gold Reaper 4|2004.11      1       19   inf  18.84       0 471.00    1    0 |     0/0       0/0      19/1       0/0  
GoldbotOne_8|1699.20       1       19   inf  18.77       0 469.25    0    1 |    19/1       0/0       0/0       0/0  
GoldbotOne_8|1791.60       1       19   inf  18.72       0 468.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 7|1914.10      2       19   inf   9.34       0 233.38    0    2 |     0/0      19/2       0/0       0/0  
GoldbotOne_8|1780.30       1       19   inf  18.67       0 466.75    0    1 |     0/0      19/1       0/0       0/0  
GoldDaily3|1729.44         1       19   inf  18.66       0 466.50    0    1 |     0/0      19/1       0/0       0/0  
Gold Reaper 7|1793.09      2       19   inf   9.29       0 232.25    0    2 |    19/2       0/0       0/0       0/0  
GoldbotOne_8|2685.58       1       19   inf  18.57       0 464.25    0    1 |     0/0       0/0       0/0      19/1  
GoldDaily3|2670.20         1       19   inf  18.56       0 464.00    0    1 |     0/0       0/0       0/0      19/1  
GoldDaily1|1780.04         1       19   inf  18.51       0 462.75    1    0 |    19/1       0/0       0/0       0/0  
goldtrade_D|2605.29        1       18   inf  18.46       0 461.50    0    1 |     0/0       0/0       0/0      18/1  
Gold Reaper 1|1853.87      1       18   inf  18.35       0 458.75    0    1 |     0/0      18/1       0/0       0/0  
goldtrade_D|2613.45        1       18   inf  18.18       0 454.50    0    1 |     0/0       0/0       0/0      18/1  
