jeu,mois,net
XAGUSD H2 AGA06|22.034,2021-12,0.52
XAGUSD H2 AGA09|22.776,2021-10,-26.14
XAGUSD H2 AGA06|22.776,2021-10,-27.34
XAGUSD H2 AGA04|22.849,2021-10,0.42
XAGUSD H2 AGA09|22.849,2021-10,-18.33
XAGUSD H2 AGA06|22.849,2021-10,7.32
XAGUSD H2 AGA06|23.141,2021-10,8.17
XAGUSD H2 AGA04|23.141,2021-10,0.42
XAGUSD H2 AGA09|23.141,2021-10,7.32
XAGUSD H2 AGA09|23.186,2021-10,0.57
XAGUSD H2 AGA04|23.186,2021-10,0.52
XAGUSD H2 AGA06|23.186,2021-10,0.57
XAGUSD H2 AGA09|23.586,2021-10,47.64
XAGUSD H2 AGA04|23.586,2021-10,1.14
XAGUSD H2 AGA06|23.586,2021-10,1.14
XAGUSD H2 AGA04|23.964,2021-10,0.52
XAGUSD H2 AGA09|24.482,2021-10,0.57
XAGUSD H2 AGA04|24.482,2021-10,0.62
XAGUSD H2 AGA06|24.482,2021-10,0.62
XAGUSD H2 AGA09|23.833,2021-10,1.14
XAGUSD H2 AGA04|23.833,2021-10,1.14
XAGUSD H2 AGA06|23.833,2021-10,0.57
XAGUSD H2 AGA09|23.653,2021-11,1.14
XAGUSD H2 AGA04|23.653,2021-11,1.09
XAGUSD H2 AGA06|23.653,2021-11,1.14
XAGUSD H2 AGA04|23.009,2021-11,-34.13
XAGUSD H2 AGA09|23.009,2021-11,-38.93
XAGUSD H2 AGA06|23.009,2021-11,-54.43
XAGUSD H2 AGA04|24.095,2021-11,-0.62
XAGUSD H2 AGA09|24.095,2021-11,-0.62
XAGUSD H2 AGA09|24.510,2021-11,0.57
XAGUSD H2 AGA04|24.510,2021-11,0.57
XAGUSD H2 AGA06|24.510,2021-11,0.57
XAGUSD H2 AGA04|24.824,2021-11,7.12
XAGUSD H2 AGA09|24.824,2021-11,6.37
XAGUSD H2 AGA06|24.824,2021-11,6.42
XAGUSD H2 AGA09|24.765,2021-11,0.57
XAGUSD H2 AGA04|24.765,2021-11,0.57
XAGUSD H2 AGA06|24.765,2021-11,0.57
XAGUSD H2 AGA04|24.020,2021-11,1.14
XAGUSD H2 AGA09|24.020,2021-11,1.14
XAGUSD H2 AGA06|24.020,2021-11,1.04
XAGUSD H2 AGA09|23.272,2021-11,-5.11
XAGUSD H2 AGA04|23.272,2021-11,-6.61
XAGUSD H2 AGA06|23.272,2021-11,-5.36
XAGUSD H2 AGA04|23.017,2021-11,0.57
XAGUSD H2 AGA09|23.017,2021-11,0.52
XAGUSD H2 AGA04|22.183,2021-12,0.57
XAGUSD H2 AGA09|22.183,2021-12,0.52
XAGUSD H2 AGA06|22.183,2021-12,0.52
XAGUSD H2 AGA09|22.602,2021-12,-13.84
XAGUSD H2 AGA04|22.602,2021-12,-20.67
XAGUSD H2 AGA06|22.602,2021-12,-13.47
XAGUSD H2 AGA09|22.416,2021-12,-4.99
XAGUSD H2 AGA04|22.416,2021-12,-4.99
XAGUSD H2 AGA06|22.416,2021-12,-5.51
XAGUSD H2 AGA09|22.592,2021-12,0.57
XAGUSD H2 AGA09|22.676,2021-12,-0.92
XAGUSD H2 AGA04|22.676,2021-12,-2.52
