n121_eagleowl_or_reverif_v141.htm — EagleOwl_v1 · XAUUSD.p · 6690 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.66   3.15     175   5.39  200   98 |   228/74    262/78    280/82    176/66 
GoldDaily2|1916.59         1       19   inf  19.10       0 477.50    1    0 |     0/0      19/1       0/0       0/0  
Gold Reaper 6|1937.37      3       19   inf   6.35       0 158.75    0    3 |     0/0       0/0      19/3       0/0  
GoldDaily1|2009.92         1       19   inf  19.02       0 475.50    1    0 |     0/0       0/0      19/1       0/0  
Gold Reaper 4|2004.11      1       19   inf  18.84       0 471.00    1    0 |     0/0       0/0      19/1       0/0  
GoldbotOne_8|1699.20       1       19   inf  18.77       0 469.25    0    1 |    19/1       0/0       0/0       0/0  
GoldbotOne_8|1791.60       1       19   inf  18.72       0 468.00    0    1 |    19/1       0/0       0/0       0/0  
GoldbotOne_8|1780.30       1       19   inf  18.67       0 466.75    0    1 |     0/0      19/1       0/0       0/0  
GoldDaily3|1729.44         1       19   inf  18.66       0 466.50    0    1 |     0/0      19/1       0/0       0/0  
Gold Reaper 5|1818.47      3       19   inf   6.21       0 155.17    0    3 |    19/3       0/0       0/0       0/0  
Gold Reaper 7|1793.09      2       19   inf   9.29       0 232.25    0    2 |    19/2       0/0       0/0       0/0  
Gold Reaper 6|2179.87      2       19 13.80   9.26       2  11.44    0    1 |     0/0       0/0       0/0      19/2  
Gold Reaper 7|2070.66      2       18   inf   9.25       0 231.25    0    2 |     0/0       0/0      18/2       0/0  
Gold Reaper 5|1942.54      4       18  9.07   4.62       3   6.97    0    2 |     0/0       0/0      18/4       0/0  
goldtrade_D|2605.29        1       18   inf  18.46       0 461.50    0    1 |     0/0       0/0       0/0      18/1  
GoldDaily3|1853.87         1       18   inf  18.35       0 458.75    0    1 |     0/0      18/1       0/0       0/0  
goldtrade_D|2613.45        1       18   inf  18.18       0 454.50    0    1 |     0/0       0/0       0/0      18/1  
GoldbotOne_8|1719.23       1       18   inf  18.07       0 451.75    0    1 |    18/1       0/0       0/0       0/0  
GoldbotOne_8|1697.60       1       18   inf  18.07       0 451.75    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 5|2632.45      2       18   inf   9.02       0 225.38    0    2 |     0/0       0/0       0/0      18/2  
Gold Reaper 5|1902.48      1       18   inf  17.96       0 449.00    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 5|2618.83      2       18   inf   8.92       0 222.88    0    2 |     0/0       0/0       0/0      18/2  
GoldbotOne_8|1877.15       1       18   inf  17.69       0 442.25    0    1 |     0/0      18/1       0/0       0/0  
goldtrade_E|1802.16        1       18   inf  17.67       0 441.75    0    1 |    18/1       0/0       0/0       0/0  
Gold Reaper 6|1800.59      3       18   inf   5.89       0 147.17    0    3 |    18/3       0/0       0/0       0/0  
Gold Reaper 6|1720.36      6       18  4.82   2.94       5   3.38    0    4 |     0/0      18/6       0/0       0/0  
Gold Reaper 5|1934.90      1       18   inf  17.55       0 438.75    0    1 |     0/0       0/0      18/1       0/0  
GoldbotOne_8|1688.00       1       17   inf  17.45       0 436.25    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 6|1767.98      3       17   inf   5.79       0 144.83    0    3 |     0/0      17/3       0/0       0/0  
Gold Reaper 4|1832.00      1       17   inf  17.32       0 433.00    1    0 |     0/0      17/1       0/0       0/0  
GoldDaily1|1739.30         1       17   inf  17.28       0 432.00    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 6|2618.83      2       17   inf   8.63       0 215.75    0    2 |     0/0       0/0       0/0      17/2  
GoldDaily1|1758.67         1       17   inf  17.13       0 428.25    1    0 |    17/1       0/0       0/0       0/0  
Gold Reaper 7|1914.10      2       17   inf   8.56       0 213.88    0    2 |     0/0      17/2       0/0       0/0  
GoldDaily2|1758.67         1       17   inf  17.03       0 425.75    1    0 |    17/1       0/0       0/0       0/0  
Gold Reaper 5|1795.08      1       17   inf  16.93       0 423.25    0    1 |    17/1       0/0       0/0       0/0  
goldtrade_D|2483.69        1       17   inf  16.90       0 422.50    0    1 |     0/0       0/0       0/0      17/1  
Gold Reaper 5|1645.64      1       17   inf  16.89       0 422.25    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 6|2020.20      5       17  5.23   3.34       4   3.76    0    3 |     0/0       0/0       0/0      17/5  
GoldDaily2|1834.00         1       17   inf  16.51       0 412.75    1    0 |    17/1       0/0       0/0       0/0  
GoldDaily1|1674.98         1       17   inf  16.51       0 412.75    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 5|2424.57      2       17   inf   8.26       0 206.38    0    2 |     0/0       0/0       0/0      17/2  
Gold Reaper 6|1981.58      1       16   inf  16.41       0 410.25    0    1 |     0/0      16/1       0/0       0/0  
Gold Reaper 5|2398.31      2       16   inf   8.19       0 204.62    0    2 |     0/0       0/0       0/0      16/2  
Gold Reaper 7|2424.57      2       16   inf   8.16       0 203.88    1    1 |     0/0       0/0       0/0      16/2  
Gold Reaper 6|1640.15      2       16   inf   8.12       0 202.88    2    0 |     0/0      16/2       0/0       0/0  
Gold Reaper 4|2009.77      1       16   inf  16.21       0 405.25    1    0 |     0/0       0/0      16/1       0/0  
GoldDaily2|1932.42         1       16   inf  16.18       0 404.50    1    0 |     0/0       0/0      16/1       0/0  
goldtrade_D|2383.85        1       16   inf  16.16       0 404.00    0    1 |     0/0       0/0       0/0      16/1  
GoldbotOne_8|1915.04       1       16   inf  16.14       0 403.50    0    1 |     0/0      16/1       0/0       0/0  
Gold Reaper 4|1932.42      1       16   inf  16.12       0 403.00    1    0 |     0/0       0/0      16/1       0/0  
DaytradePro_XAUUSD|181     2       16   inf   8.05       0 201.25    1    1 |    16/2       0/0       0/0       0/0  
GoldbotOne_8|1758.67       1       16   inf  15.88       0 397.00    0    1 |    16/1       0/0       0/0       0/0  
goldtrade_E|2009.77        1       16   inf  15.82       0 395.50    0    1 |     0/0       0/0      16/1       0/0  
goldtrade_D|2392.92        1       16   inf  15.81       0 395.25    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 5|2365.35      2       16   inf   7.91       0 197.62    0    2 |     0/0       0/0       0/0      16/2  
goldtrade_D|1969.23        1       16   inf  15.80       0 395.00    0    1 |     0/0       0/0      16/1       0/0  
Gold Reaper 6|2398.31      2       16   inf   7.89       0 197.25    0    2 |     0/0       0/0       0/0      16/2  
DaytradePro_XAUUSD|261     1       16   inf  15.73       0 393.25    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 6|1830.23      4       16  8.15   3.90       3   6.13    0    3 |     0/0       0/0      16/4       0/0  
